,user_a,user_b
411,Có crush ai không,Có 1 bạn cùng lớp
412,Tại sao lại thích bạn dó,Vì đáp ứng những yêu cầu của tao
413,Có hay nói chuyện không,Hay nhắn tin messenger
414,Bạn kia có bắt chuyện trước không,Có đôi khi
415,Có định rủ bạn đó về quê dịp Tết không,"Có, đang đợi trả lời"
416,Có hay đi chơi với nhau không,Thường đi cùng cả nhóm bạn
417,Sở thích mày sao?,"Thích phim, đồ ăn, thể thao"
418,Thích phim gì?,Phim ma
419,Thích chơi gì?,chơi đá banh
420,Thích ăn gì?,Ăn cơm sườn
421,mày thích chơi bi lắc không?,có
422,mày chơi giỏi nhất cây nào?,"một, năm"
423,mày chơi cầu công hay cầu thủ?,thủ
424,có chơi cầu lông không?,Không thường xuyên
425,hay chơi với ai?,Đồng nghiệp
426,chơi ở đâu?,quận 10
427,chơi bao nhiêu lần một tuần?,1 lần
428,chơi sân nào?,sân kỳ hòa
429,thích phim nào?,quái vật
430,thích diễn viên nào không?,không có
431,thích hãng phim nào?,marvel
432,mày thích chơi bi lắc không?,không
433,mày chơi giỏi nhất cây nào?,có chơi đâu giỏi
434,mày chơi cầu công hay cầu thủ?,có chơi đâu hỏi hoài
435,có chơi cầu lông không?,có chứ
436,hay chơi với ai?,chơi với hội
437,chơi ở đâu?,sân cầu lông
438,chơi bao nhiêu lần một tuần?,mỗi ngày
439,chơi sân nào?,sân nhà thi đấu phú thọ quận 11
440,thích phim nào?,phim giả tưởng
441,thích diễn viên nào không?,không
442,thích hãng phim nào?,không biết
443,Thích chơi game không?,thích
444,Thích chơi game gì?,game người lớn
445,Có chơi thể thao không?,Có.
446,Chơi môn gì?,Bóng đá.
447,Tại sao thích môn đó?,Tương tác cao.
448,Ghét môn gì?,Bóng rổ.
449,Hay chơi lúc nào?,Cuối tuần.
450,Có chơi với bạn không?,Có.
451,Có xem phim không?,Có.
452,Thường xem thể loại gì?,Hành động.
453,mày tthich1 chơi gì?,chơi đá bóng
454,mày thích thể loại nào?,hành động kinh điển
455,bạn thích làm gì?,tôi thích chơi game và học code
456,bạn thích phim gì?,tôi rất thích phim hài
457,bạn thích môn thể thao nào?,tôi thích đô vật mỹ
458,Thích gì?,thích đá bóng
459,Mày như nào?,tao đá banh hơi cùi
460,Phim gì?,phim lãng mạn
461,Chơi gì?,chơi game bắn súng
462,Thích bơi không?,không thích cho lắm
463,Du lịch mấy lần?,mỗi năm một lần
464,Đi máy bay chưa?,rồi nha
465,Nhiêu nước?,chưa ra nước ngoài
466,Thích ăn gì?,ăn sushi
467,thích môn thể thao nào?,đá bóng và fitness
468,thích phim nào?,kinh dị
469,có sở thích gì không?,Đọc truyện
470,thích chơi thể thao không?,Không
471,thích chơi môn thể thao nào?,Cầu lông
472,"tui thấy mấy đứa ctrai hay chơi game :))) chắc ông cũng zay ha :"">",đúng dồi
473,ông có thích chơi đá bóng hay gì không?,"tui thích chơi bóng đá nhất, hồi đó tui còn đi thi đấu bán chuyên nữa"
474,Bộ phim thích nhất?,forest gump
475,Thích môn thể thao nào?,bóng bàn
476,Mày có sở thích gì?,Thích đi du lịch
477,Thích đi xem phim không?,Thích
478,Có hay chơi thể thao không?,"Có, hàng tuần"
479,Có thính hát không,"Có, tao hay hát lắm"
480,thích gì,đi chơi
481,thích ăn gì?,ăn cơm nhà.
482,thích phim gì?,phim heo.
483,có chơi thể thao không?,"lâu lâu thì đánh bóng rổ, cầu lông."
484,Thích gì?,Chơi
485,Thích môn thể thao nào?,Ngủ ngày.
486,Thích xem phim gì?,Phim
487,thích thể thao không?,thích thể thao 2 người.
488,mày thích con đó không,Kó
489,Mày thích gì?,Thích crush
490,Chứ mày thích sách không?,Hỏi gì hỏi lắm vậy?
491,mày thích gái không ?,có nhá
492,mày chơi thể thao không?,có
493,mày thích đi xem phim không ?,có
494,mày thích đi xem phim chung với gia đình không ?,hỏi chi mà lắm nhờ
495,mày thích đi xem phim một mình không ?,nói ít hiểu nhiều
496,Mày có thích chơi thể thao hay không ?,Không thích
497,Chơi môn gì ?,Không thích rồi mà còn hỏi nữa
498,Chơi ở đâu ?,Hỏi nhây vậy
499,Chơi với ai ?,Chơi với mày
500,Mày thích gì?,Tao thích mày.
501,Mày có thích chơi game không?,Có ai mà không chơi đâu
502,Cậu thích chơi đá banh không?,Có.
503,Mày thích gì?,Tao thích mày.
504,Mày có thích chơi game không?,Có ai mà không chơi đâu
505,Cậu thích chơi đá banh không?,Có.
506,Mày thích gì?,"Coi phim, nghe nhạc, chơi bóng đá,..."
507,Mày thích phim nào?,Transformers
508,Thích nhân vật nào?,Optimus Prime
509,Thích ca sĩ nào?,Isaac
510,Thích cầu thủ nào?,Cristiano Ronaldo
511,Mày có thích chơi thể thao không?,đương nhiên là có
512,Môn thể thao yêu thích nhất là gì ?,môn nào cũng thích
513,Mày có từng đi thi đấu không?,có 2 lần giải nhất thành phố rồi
514,Mày có thích xem phim không?,xem phim là trùm
515,Thể loại yêu thích nhất là gì?,"gây cấn, hack não, khoa học viễn tưởng"
516,Thích loại phim gì ?,Nhiều loại lắm
517,Chơi môn thể thao gì ?,Bóng đá
518,Hay đi chơi thể thao không ?,Chơi lúc rảnh rỗi
519,Thường đi chơi thể thao ở đâu ?,Sân bóng đá
520,Bạn có chơi thể thao mạo hiểm không ?,Không. Mình hơi nhát
521,Phim không ?,Phim gì ?
522,Hay chơi đá banh không ?,Không
523,Đi đánh cầu ?,"Ở đâu, mấy giờ"
524,Rảnh làm gì ?,Chơi game
525,Net không ?,Chừng nào
526,Mày có thích chơi thể thao không?,thể thao điện tử
527,Mày có từng đi thi đấu không?,giải ao làng
528,Thể loại yêu thích nhất là gì?,abc xyz
529,ông thích làm gì khi rảnh,tui thích đá bóng
530,Thích nhất gì?,Ăn
531,Thích chơi thể thao không?,Hơi hơi
532,Thích nhất môn nào?,Cầu lông
533,Thích ăn gì nhất,Món nào nào ngon là thích
534,Có thích xem phim không?,Có
535,Phim thích nhất tên gì?,Điều tuyệt vời nhất của chúng ta (With you)
536,Thích nhân vật nào trong phim đó?,Dư Hoài và Cảnh Cảnh
537,Thể loại phim mà bạn thích xem là gì?,Hành động
538,Bạn thường chụp ảnh lúc nào?,Lúc cảnh đẹp
539,Môn thể thao mà bạn thích chơi nhất?,Cầu lông
540,Bạn thường làm gì lúc rảnh rỗi?,"Coi phim, nghe nhạc"
541,Món ăn mà bạn thích là gì?,"Chả giò, cơm tấm"
542,Sở thích là gì?,nghe nhạc.
543,có hay chơi thể thao không?,"đá bóng,thứ 3 hàng tuần."
544,có thích bóng rổ không?,không biết chơi.
545,có thường đi du lịch với bạn bè không?,vừa đi đà lạt hồi tháng 6.
546,thường làm gì trong thời gian rảnh?,"xem phim, nghe nhạc học một số nhạc cụ."
547,có thích làm producer về lĩnh vực âm nhạc không?,thích
548,Có ghét ăn sầu riêng không?,không sầu riêng ngon gần chết.
549,Bạn có thích có người yêu khoong?,Có
550,Bạn có biết bơi không?,Có
551,Bạn thích chơi môn thể thao gì nhaats?,Đá banh
552,Mày thích gì ?,đá banh
553,Thích xem phim không ?,thích
554,Thích phim gì ?,hài
555,Xem ở nhà hay ra rạp ?,nhà
556,Xem một mình hay nhiều người ?,cả hai
557,Thích đi du lịch không ?,có
558,Trong nước hay nước ngoài ?,cả hai
559,Đi một mình hay nhiều người ?,cả hai
560,Đi bằng gì ?,tùy
561,Mày thích gì ?,đá banh
562,Thích xem phim không ?,thích
563,Thích phim gì ?,hài
564,Xem ở nhà hay ra rạp ?,nhà
565,Xem một mình hay nhiều người ?,cả hai
566,Thích đi du lịch không ?,có
567,Trong nước hay nước ngoài ?,cả hai
568,Đi một mình hay nhiều người ?,cả hai
569,Đi bằng gì ?,tùy
570,Mày thích gì ?,đá banh
571,Thích xem phim không ?,thích
572,Thích phim gì ?,hài
573,Xem ở nhà hay ra rạp ?,nhà
574,Xem một mình hay nhiều người ?,cả hai
575,Thích đi du lịch không ?,có
576,Trong nước hay nước ngoài ?,cả hai
577,Đi một mình hay nhiều người ?,cả hai
578,Đi bằng gì ?,tùy
579,Thích đánh cờ không ?,Thích
580,Thích cờ gì?,Cờ bạc
581,Có thi đấu không?,Sắp bay mấy cái nhà
582,Mày có thích xem phim không?,Kó
583,Thể loại nhạc mày thích?,nhạc đám
584,Sở thích của bạn là gì?,thể thao
585,Bạn có thích xem phim không?,thích
586,Bạn thích xem thể loại phim gì nhất?,kinh dị
587,Bạn có thích chơi thể thao không?,thích
588,Bạn có huy chương không?,Có
589,bạn thích coi phim gì?,18+
590,Bạn thích chơi thể thao không?,thích
591,Sao bạn lại thích chơi game?,vui
592,bạn đi đâu nếu bạn rãnh?,thể dục
593,Bạn có bao giờ nghĩ bạn sẽ có một sợ thích khác?,không
594,Mày thích gì?,Tao thích mày.
595,Mày có thích chơi game không?,Có ai mà không chơi đâu
596,Cậu thích chơi đá banh không?,Có.
597,thích phim gì?,mavel
598,thích con gì?,mèo
599,khi rảnh làm gì?,ngủ
600,sở thích có vô bổ không?,không
601,sở thích hữu dụng ra sao?,vô dụng cứt
602,bạn là weibu à ?,yup
603,Bạn thích gì?,Đủ thứ hết
604,Thích xem phim không?,Lúc rãnh thì có
605,Thích xem thể loại gì nhất?,Ma
606,Thích xem phim nào nhất?,Titanic
607,Sao thích phim này?,Cảnh đẹp
608,Có hay chơi thể thao không?,Có chứ
609,Tại sao thích thể thao?,Cho khoẻ người
610,Điều gì khiến bạn có sở thích như vậy?,Tại thấy người khác tập cũng vui
611,Mày có thích chơi thể thao không?,Kó
612,Thích chơi môn gì ?,Chơi tất tay
613,Có giải gì chưa?,1 giải ao làng với 1 giải giếng làng
614,Mày có thích xem phim không?,Chúa phim đây
615,Thể loại yêu thích nhất là gì?,gì cũng coi
616,Trường nào?,TĐT
617,Học gì,CNTT
618,Học vui không,Vui
619,Học chi,Đi làm
620,Nợ nhiêu môn rồi,Nhiều
621,học hành sao?,ổn
622,trường nào?,Tôn Đức Thắng
623,đường nào?,Nguyễn Hữu Thọ
624,quận mấy?,Bảy
625,thành phố?,Hồ Chí Minh
626,ngành gì?,Kỹ thuật phần mềm
627,học phí nhiêu?,Mười mấy triệu một kỳ
628,tốt không?,Cũng ổn
629,học sinh gì?,Khá
630,kết quả sao?,Cũng được
631,giáo viên sao?,Tùy người
632,dạy ổn không?,Cũng ổn
633,bạn bè sao?,Bình thường
634,học hành sao?,trung bình cộng
635,trường nào?,TÔn đức thắng
636,đường nào?,Nguyễn Hữu Thọ
637,quận mấy?,quận 7
638,phường nào?,tân phong
639,thành phố?,hồ chí minh
640,ngành gì?,Công nghệ thông tin
641,học phí nhiêu?,16 triệu 1 kỳ
642,tốt không?,cũng bình thường
643,học sinh gì?,học sinh trunh bình
644,kết quả sao?,7
645,giáo viên sao?,giáo viên ổn
646,dạy ổn không?,dạy cũng bình thường
647,bạn bè sao?,bạn bè cũng tuyệt vời
648,Học gì?,Học hành
649,học ở đâu?,Ở đây
650,Học giỏi hay dở?,học hay
651,Bạn học gì?,Công nghệ thông tin
652,Học trường nào?,Tôn Đức thắng
653,Ở đâu?,Quận 7
654,Học thế nào?,Bình thường
655,Nợ môn chưa?,Rồi.
656,Học phí đắt không?,Khá đắt
657,anh học trường nào?,tôi học trường Đại Học Sài Gòn
658,trường đó ở đâu?,trường đó ở Sài Gòn
659,anh học như thế nào?,tôi học rất sad
660,Đang học cái gì?,học kinh doanh
661,Học trường nào thế?,Đại học Thủy Lợi
662,Đi học kiểu gì?,bắt xe buýt
663,Học ở đâu lận?,quận Bình Thạnh lận
664,Rớt mấy môn?,5 môn rồi
665,Mày học năm mấy?,tao năm 2
666,Nào ra trường?,may thì 2 năm nữa
667,học gì?,học Công Nghệ Thông Tin
668,học ở đâu?,học Tôn Đức Thắng
669,học sao rồi?,sắp tốt nghiệp
670,thích môn gì?,IOT
671,Trường gì?,TDT
672,học trường gì?,Tôn Đức Thắng
673,trường ở đâu?,Quận 7
674,học nhiều môn không?,Không
675,học ngành gì?,Khoa học máy tính
676,đang học năm mấy?,Năm 3
677,ông đang học đh rồi hả?,"đúng rồi nè, học 3 năm rồi á"
678,ông học ngành gì á?,tui học khoa học máy tính
679,ông học trường đh nào á?,tui học tdtu á
680,ông đang là sv năm mấy gòy?,tui sv năm 3 rồi
681,ông học ngành này là hồi đó ông thích hay s?,học ngành này là do đam mê từ hồi nhỏ á
682,Học ngành gì?,IT
683,Học ở đâu?,TDTU
684,Sắp ra trường chưa?,Chưa
685,Thích học môn gì?,Lập trình OOP
686,Ghét học môn gì?,Xử lý ngôn ngữ tự nhiên
687,Khi nào ra đi làm?,Khi có tiền mua bằng
688,Có bao giờ rớt môn không?,Học 3 môn rớt 1 môn
689,Học gì?,học giỏi
690,ở đâu?,Tôn đức thắng
691,học thế nào?,học giỏi
692,học gì?,đại học.
693,ở đâu?,ở thành phố.
694,học như nào?,học được
695,mày học ngành gì?,t học cntt á
696,học ở đâu?,t học ở tdtu :))))
697,học sao?,cũng okie thôi à :)))) hơi quằng
698,được học lực gì?,"hồi học kì trước tui loại khá :"">"
699,mày học lớp nào?,tao học lớp 303
700,Giờ mày đi học hay đi làm?,Đi học
701,Mày học ở đâu?,Hỏi làm gì
702,Mày học năm mấy?,3
703,Rớt môn nào chưa?,Rớt môn như lá mùa thu
704,Mày học môn gì đó?,Hỏi rồi mày cũng có biết đâu
705,mày học ngu lắm phải không ?,khôn hơn mày là được
706,mày học ở đâu ?,đại học TDT
707,mày học lớp nào ?,18h50302
708,mày ghét môn gì nhất ?,no comment
709,mày thích môn gì nhất ?,no comment
710,Học ngành gì ?,IT
711,đang ở đâu (gia đình hay một mình) ?,ở đâu còn lâu mới nói
712,"học hành như thế nào ( Giỏi, Khá ,Trung bình , Yếu )?",học bình thường
713,Ê học gì vậy?,Tớ đang học Xử lý ngôn ngữ
714,Mày học thế nào?,Đủ qua môn
715,Mày học ở đâu?,Học ở Đại Học Tôn Đức Thắng.
716,Mày nghĩ gì mà học như vậy?,Nghĩ về tương lai mái nhà và những đứa trẻ.
717,Ê học gì vậy?,Tớ đang học Xử lý ngôn ngữ
718,Mày học thế nào?,Đủ qua môn
719,Mày học ở đâu?,Học ở Đại Học Tôn Đức Thắng.
720,Mày nghĩ gì mà học như vậy?,Nghĩ về tương lai mái nhà và những đứa trẻ.
721,Mày đang học gì?,IT
722,Mày học giỏi không?,Cũng tạm
723,Mày học trường nào?,Đại học Tôn Đức Thắng
724,Học khó không?,Dễ
725,Rớt môn chưa?,8 môn
726,Học lớp mấy?,học lớp 5
727,Học ở đâu?,ở Việt Nam
728,Học lực thế nào?,học sinh xuất sắc
729,Học giỏi nhất môn gì?,tiếng việt
730,Ghét nhất môn gì?,ghét tất cả
731,Học ở trường nào ?,Đại học Tôn Đức Thắng
732,Bạn học ngành gì ở trường ?,Khoa học máy tính
733,Học tốt không ?,Là học sinh giỏi ở trường
734,Có học thêm bên ngoài không ?,Học tiếng anh ở ngoài
735,Thích môn nào nhất ?,Java
736,Rớt môn nào chưa ?,Rớt 2 môn
737,Bạn học chuyên ngành gì ?,Học Mỹ Thuật Công Nghiệp
738,Bạn vẫn đang học đại học hay đã ra trường?,Tao không học đại học
739,Bạn đã được thành tích gì trong trường?,Có học đâu mà có
740,Điểm trung bình học kỳ gần nhất bạn bao nhiêu điểm?,Năm 12 t 8.7
741,Bạn đang học trường nào ?,T đang học ở TDT
742,Học năm mấy?,năm 3
743,Có được học bổng khôg?,2 cái
744,Ghét nhất môn gì?,ghét tất cả
745,Bạn học ở đâu?,Đại học Tôn Đức Thắng
746,Bạn học gì?,Công nghệ thông tin
747,Học trường nào vậy?,Trường đại học Buôn Ma Thuột
748,Học ngành gì?,Dược
749,Thích môn nào nhất?,Dược liệu.
750,Ghét môn nào nhất?,Hóa sinh
751,Bạn đang học ngành gì?,Học làm người
752,Bạn có học giỏi Toán không?,Tất nhiên là không
753,Bạn thích học môn nào nhất?,Môn xử lý ngôn ngữ tự nhiên
754,Bạn học yếu môn nào nhất ở trường?,Môn Văn vở
755,Bạn đang là sinh viên năm mấy?,Mình sinh viên năm 3
756,Bạn học lớp mấy?,Mình học lớp 15
757,đang học ngành gì ?,ngành công nghệ thông tin
758,thường học ở toà nào ?,toà D
759,học chuyên ngành gì ?,học khoa học máy tính
760,đang là sinh viên năm mấy?,năm 3
761,thích ngành đó không ?,có
762,Học ở đâu,Học ở học viện RMIT.
763,Đang học cấp mấy ?,Cấp Đại Học
764,Học trường nào ?,TDTU
765,Học lực ra sao ?,Khá Giỏi nha
766,Áp lực không ?,Rất
767,Ghét môn học nào ?,Kỹ năng phát triển bền vừng
768,Học trường nào?,Tôn Đức thắng
769,Ngành gì?,Công Nghệ Thông Tin
770,Năm mấy ?,năm 3
771,Học giỏi không?,không
772,Rớt bao nhiều môn rồi ?,hỏi chi
773,Học trường nào?,Tôn Đức thắng
774,Ngành gì?,Công Nghệ Thông Tin
775,Năm mấy ?,năm 3
776,Học giỏi không?,không
777,Rớt bao nhiều môn rồi ?,hỏi chi
778,Học trường nào?,Tôn Đức thắng
779,Ngành gì?,Công Nghệ Thông Tin
780,Năm mấy ?,năm 3
781,Học giỏi không?,không
782,Rớt bao nhiều môn rồi ?,hỏi chi
783,Lớp mấy?,lớp 1
784,Học ở đâu?,Sài gòn
785,Giỏi không ?,giỏi
786,Giỏi gì?,giỏi chơi
787,Ghét gì không?,mọi thứ
788,Bạn đang học cấp bậc nào?,Đại học
789,Bạn học trường gì?,TDT
790,Trường bạn ở đâu?,Q7
791,Học phí trường bạn có mắc không?,trung
792,Cơ sở hạ tầng có tốt không?,tốt
793,Trường bạn có nhiều gái xinh không?,nhiều
794,bạn đang học ở đâu?,Mỹ
795,Bạn học giỏi không?,ngu
796,Bạn học lớp mấy?,12
797,Bạn có tính đi du học không ?,Không
798,Đang học gì?,Học NLP
799,Mày học thế nào?,Đủ qua môn
800,Mày học ở đâu?,Đại Học Tôn Đức Thắng.
801,bạn ngành gì?,cs
802,bạn học chỗ nào?,tdt
803,bạn học sao rồi?,ổn
804,học môn gì vậy?,nlp
805,ê ra trường chưa?,chưa
806,bạn tính sao rồi?,ổn
807,Bạn học ở đâu?,RMIT
808,Bạn có rớt môn không?,"Không,rất tốt"
809,Trường ở đâu?,Tp.HCM
810,Bạn học thế nào?,Giỏi
811,Lớp đông không?,20 người
812,Bạn bè thế nào?,câu hỏi không rõ ràng không trả lời
813,Học áp lực không?,áp lưc quá đi chứ
814,Trường có nhiều hoạt động không?,ko
815,Ấn tượng về trường?,Giàu
816,Điều gì ở trường nhất bạn thích?,Phòng máy
817,Môn nào cảm thấy tự tin?,Tương lai của nhân loại
818,Lớp mấy?,lớp 15
819,Học ở đâu?,Ở đây
820,Học sao?,Thích học sao học
821,Giỏi môn gì?,tiếng Việt
822,Ghét môn gì?,ghét hết
823,mày tên gì?,Hùng
824,bao tuổi,20
825,họ tên là gì ?,Hà Công Thành
826,nhiêu tuổi ?,22
827,sở thích thì sao ?,chơi game với xem phim
828,quê mày ở đâu ?,Đà Nẵng
829,mày đang học ở đâu ?,"trường đại học Tôn Đức Thắng, quận 7"
830,mày cao nhiêu ?,1 mét 63
831,"Chào nhé, bạn tên gì nhỉ?",tên Cường nhé
832,Bạn bao tuổi?,năm nay là 22 tuổi
833,Quê quán?,Thái Bình
834,Thích ăn gì?,"thích ăn nhiều món lắm, ngon là ăn."
835,Có bạn gái chưa?,Chưa!!!
836,học ở đâu?,đang học ở trường Tôn Đức Thắng
837,số điện thoại,938410364
838,học nghành nào,nghành khoa học máy tinh
839,học khoa nào,khoa công nghệ thông tin
840,học trường nào? khoá mấy,trường đại học Tôn Đức thắng và khoá 21
841,tên là gì,Khoa
842,sinh năm mấy?,1999
843,bao nhiêu tuổi?,21 tuổi
844,Tên gì?,Lan Anh.
845,Tên gì?,Tuấn Duy.
846,Địa chỉ?,Kha Vạn Cân.
847,Địa chỉ?,Gò Vấp.
848,Nhà ở đâu?,Trái Đất.
849,Nhà ở đâu?,Việt Nam.
850,Nhà ở đâu?,Nhật Bản.
851,Tên gì?,Lan Anh.
852,Tên gì?,Tuấn Duy.
853,Địa chỉ?,Kha Vạn Cân.
854,Địa chỉ?,Gò Vấp.
855,Nhà ở đâu?,Trái Đất.
856,Nhà ở đâu?,Việt Nam.
857,Nhà ở đâu?,Nhật Bản.
858,"Chào nhé, bạn tên gì nhỉ?",Tôi tên Tuấn
859,Bạn bao tuổi?,Tôi năm nay 21 tuổi
860,Quê quán?,Ninh Thuận
861,Thích ăn gì?,Ăn kem.
862,Có bạn gái chưa?,Chưa có nha!
863,tên mày là gì?,Hưng
864,bao nhiêu tuổi?,21
865,đang học hay đi làm?,đang học
866,sinh viên trường nào?,Đại học Tôn Đức Thắng
867,ngành gì mày?,công nghệ thông tin
868,quê mày ở đâu?,Quảng Nam
869,ở kí túc xá hay ở ngoài?,Kí túc xá
870,có xài facebook hay zalo chi không?,có xài facebook nhen
871,cho xin nick facebook được hem?,"okay, nick face là nxhung0405."
872,cho xin sđt để tiện liên lạc được không,917234872
873,Tên gì?,Quang Minh
874,Địa chỉ?,CMT8.
875,Địa chỉ?,Tân Bình.
876,Nhà ở đâu?,Sài Gòn.
877,Nhà ở đâu?,Việt Nam.
878,Nhà ở đâu?,Nhật Bản.
879,mày tên gì?,Cường
880,bao tuổi ?,20
881,Ngoại hình ?,Ổn
882,giới tính ?,XY
883,Địa chỉ nhà ?,không nhớ
884,số điện thoại ?,120000
885,Học đại học gì ?,TDTU
886,mày tên gì?,Phúc
887,bao tuổi,20
888,đang học ở đâu?,TDTU
889,đang đi học hay đi làm?,Đang học ở TDTU
890,ước mơ sau này làm gì?,Lập trình viên làm về web lương nghìn đô
891,bạn tên gì ?,Nam
892,Nhiêu tuổi rồi ?,22
893,học khoa nào ?,CNTT
894,nào ra trường ?,năm sau
895,có bồ chưa ?,có rồi
896,mày tên gì?,Hùng
897,bao tuổi,20
898,đang ở đâu?,Hồ Chí Minh
899,đang làm gì?,sinh viên
900,mày tên gì?,Hùng
901,bao tuổi,20
902,nhà mấy người?,5
903,bạn thân tên gì?,Mai Anh
904,học lớp mấy,đại học năm 4.
905,địa chỉ nhà ở đâu?,quận 4 tphcm
906,"có chị, anh hay em trong nhà không?",có chị và em.
907,có học đội tuyển học sinh giỏi không?,có
908,học đội tuyển khó không?,có
909,học đổi tuyển học sinh giỏi môn gì?,hóa
910,tính sau này ra làm ngành gì?,CNTT
911,thích làm gì khi rảnh rỗi?,"chơi game, đọc sách, nghe nhạc"
912,thích coi hài không,tương đối thích
913,ngành nào tính đi theo trong tương lai?,Kinh tế
914,quê ở đâu?,Bình Thuận
915,đang sống ở đâu?,Sài Gòn
916,mày tên gì?,Lan
917,bao tuổi,20
918,hiện tại ở đâu?,quận 7
919,ở trọ hay kí túc xá?,trọ
920,quê ở đâu?,Lai Châu
921,tên gì?,Tiến
922,bao tuổi?,22
923,quê quán?,Đồng Tháp
924,số điện thoại?,792240342
925,có bao nhiêu người trong gia đình?,7 người
926,có mấy anh em?,3
927,Bạn vào làm lâu chưa?,2 năm rồi
928,Bạn tên gì đấy?,Nam
929,Cho mình số bạn để tiện liên lạc nha,123456789
930,Cảm ơn bạn,Không có gì
931,mày tên gì?,Tùng
932,bao tuổi,21
933,họ và tên,nguyễn Thanh Tùng
934,đang học hay đi làm,đang đi học
935,trường nào,đại học Tôn Đức Thắng
936,mày quê ở đâu,Hà Nội
937,gia đình mày mấy người,bốn người
938,mày là con thứ mấy,con cả
939,mày cao bao nhiêu,một mét tám
940,mày nặng bao nhiêu,65kg
941,mày có sài facebook không,có
942,facebook mày là gì,tungtungtung
943,học ngành nào ?,kỹ thuật phần mềm
944,sinh năm bao nhiêu ?,1999
945,nghề nghiệp là gì ?,sinh viên
946,học ở đâu ?,sài gòn
947,trường tên gì ?,Đại học Tôn Đức Thắng
948,cao mét mấy ?,1 mét 5
949,cân nặng bao nhiêu ?,60 ký
950,có bạn gái chưa ?,rồi
951,thích xem phim không ?,thích
952,gia đình nhiêu người ?,4 người
953,bao nhiêu tuổi ?,18
954,bạn năm mấy ?,4
955,mày tên gì?,Dũng
956,sinh năm bao nhiêu?,2002
957,bao nhiêu tuổi?,19
958,mày sinh ở đâu?,Vĩnh Long
959,con thứ mấy trong gia đình,con út
960,nhóm máu gì?,nhóm máu A
961,sở thích là gì?,chơi game
962,có bạn gái chưa?,chưa
963,học đại học năm mấy?,đại học năm 3
964,có rớt môn chưa?,sắp rớt một môn
965,mày học ở đâu?,học ở TDTU
966,thích ca sĩ nào?,Mỹ Tâm
967,Tên gì?,Huyền
968,Mấy tuổi?,21
969,Quê ở đâu?,Sóc Trăng
970,Học trường gì?,TDTU
971,Ngành gì?,Mạng máy tính và truyền thông dữ liệu
972,mày tên gì?,Hùng
973,bao tuổi,20
974,nghề nghiệp,sinh viên
975,nhiêu tuổi?,20
976,làm gì?,thất nghiệp
977,số điện thoại,925632541
978,chơi nhạc cụ gì?,guitar
979,quê chỗ nào?,ở An Giang
980,sinh năm bao nhiêu?,2000
981,mày tên gì?,Hùng
982,bao tuổi,20
983,mày thuộc cung gì?,song tử
984,mày sống ở đâu?,Hà Nội
985,thuộc khoa nào?,khoa công nghệ thông tin
986,chiều cao?,1 mét 7
987,cân nặng?,từ chối trả lời
988,tên gì?,Hiếu
989,nhiêu tuổi?,22
990,quê đâu?,Cà Mau
991,làm nghề gì?,sinh viên
992,trường nào?,Tôn Đức Thắng
993,học ngành gì?,Công nghệ thông tin
994,địa chỉ ở đâu?,quận 7
995,nhiêu kí?,75
996,mét mấy?,mét 75
997,nhà nhiêu người?,4
998,bạn tên gì?,mình tên Duy
999,bạn sinh năm bao nhiêu?,mình sinh năm 2000
1000,bạn bao nhiêu tuổi?,mình 21 tuổi
1001,bạn còn đang đi học không?,mình đang học đại học
1002,bạn học trường gì?,mình học trường Tôn Đức Thắng
1003,bạn quê ở đâu?,mình quê ở Tiền Giang
1004,bạn hiện tại đang ở đâu?,mình đang ở thành phố Hồ Chí Minh
1005,nhóc tên gì ?,Bình
1006,sinh năm nào ?,2001
1007,học ngành gì ?,kỹ thuật phần mềm
1008,sơ thích ?,chơi bóng đá
1009,nam hay nữ ?,nam
1010,mày tên gì?,Hùng
1011,bao tuổi,20
1012,ở đâu?,Hồ Chí Minh
1013,sở thích là gì?,chơi game
1014,nghề gì?,sinh viên
1015,"Chào, bạn là ai ?",Tôi là Long
1016,"Ồ, bạn nhiêu tuổi rồi ?",Tôi nay 21
1017,Học đại học à ?,Ừm mình sinh viên năm 3
1018,Bạn ở trọ chỗ nào ?,Bên quận Bình tân
1019,"Xa đấy, bạn đến trường bằng gì ?",Mình đi xe máy tới
1020,Tên gì?,Tên Tiến
1021,Bao tuổi?,21
1022,Nhà đâu?,Ở Sài Gòn
1023,Thích gì?,Đọc sách
1024,Đang làm gì?,Sinh viên
1025,mày tên gì?,Khoa
1026,bao tuổi,20
1027,cao,1m79
1028,Bạn tên gì?,Lan
1029,Mấy tuổi?,15
1030,Có người yêu chưa?,chưa
1031,làm nghề gì?,công nghệ thông tin
1032,làm ở đâu?,Tphcm
1033,mày tên gì?,Hùng
1034,bao tuổi,20
1035,mày tên gì?,Hùng
1036,bao tuổi,20
1037,Tên là gì?,Duy
1038,Sinh năm bao nhiêu?,2000
1039,Đến từ đâu?,Trà Vinh
1040,Đang làm gì?,Học đại học
1041,Học trường nào?,Tôn Đức Thắng
1042,Ngành gì?,"IT, Mạng máy tính và Truyền thông dữ liệu"
1043,Đang ở đâu?,tp Hồ Chí Minh
1044,Khoa nào?,IT
1045,Đang sống cùng gia đình hay ở một mình?,Một mình
1046,mày tên gì?,Hưng
1047,bao tuổi,sinh năm 2001
